data,target
We strive to be environmentally friendly in everything we do.,1
Our products are made with the environment in mind.,1
We are committed to sustainability without compromising quality.,1
Our goal is to reduce our carbon footprint.,1
We are working towards a greener future.,1
We use eco-conscious practices in our manufacturing process.,1
Our packaging is designed to minimize environmental impact.,1
We believe in protecting the planet for future generations.,1
We are dedicated to being environmentally responsible.,1
Our company is committed to sustainability.,1
We are constantly seeking ways to reduce waste.,1
We are proud to be eco-friendly.,1
We are committed to environmental stewardship.,1
Our products are made with the environment in mind.,1
We are dedicated to minimizing our environmental impact.,1
We are committed to sustainability practices.,1
We are dedicated to sustainable practices.,1
We are committed to reducing our carbon footprint.,1
We are committed to sustainable manufacturing.,1
We are committed to sustainability efforts.,1
We are dedicated to environmental sustainability.,1
We are committed to reducing waste.,1
We are committed to eco-friendly practices.,1
We are committed to sustainable development.,1
We are committed to sustainable business practices.,1
We are dedicated to environmentally friendly practices.,1
We are dedicated to sustainability initiatives.,1
We are committed to environmentally responsible practices.,1
We are committed to minimizing our carbon footprint.,1
We are dedicated to sustainable production.,1
We are committed to sustainability goals.,1
We are dedicated to eco-friendly manufacturing.,1
We are committed to environmental conservation.,1
We are committed to sustainable sourcing.,1
We are dedicated to reducing environmental impact.,1
We are committed to sustainable solutions.,1
We are dedicated to eco-friendly initiatives.,1
We are committed to sustainability standards.,1
We are dedicated to sustainable growth,1
We are working towards a greener future.,1
Our products are kind to the environment.,1
We strive to minimize our impact on the planet.,1
We are committed to sustainability.,1
Our packaging is designed with the environment in mind.,1
We support eco-friendly initiatives.,1
We are dedicated to reducing our carbon footprint.,1
Our goal is to be environmentally responsible.,1
We believe in the power of green technology.,1
We are constantly looking for ways to be more sustainable.,1
Our products are made with the environment in mind.,1
We aim to protect the planet for future generations.,1
We are passionate about sustainability.,1
Our company values environmental stewardship.,1
We are committed to doing our part for the planet.,1
We are proud to be an environmentally conscious company.,1
We believe in the importance of sustainability.,1
We are dedicated to environmental preservation.,1
Our products are eco-friendly.,1
We are working towards a more sustainable future.,1
We are committed to reducing our environmental impact.,1
Our company is environmentally aware.,1
We are dedicated to sustainable practices.,1
We strive to be environmentally friendly.,1
We are committed to sustainability and conservation.,1
Our products are designed with sustainability in mind.,1
We believe in the power of green energy.,1
We are dedicated to reducing waste.,1
Our company is committed to environmental protection.,1
We are committed to making a positive impact on the environment.,1
We are proud to support green initiatives.,1
Our products are made from sustainable materials.,1
We are dedicated to being eco-conscious.,1
We strive to be good stewards of the environment.,1
We are committed to sustainable development.,1
Our company values environmental sustainability.,1
We are passionate about protecting the environment.,1
We believe in the importance of eco-friendly practices.,1
The product packaging is recyclable,1
50% more recycled content than before.,1
Our plastic diaper liner has the most recycled content.,1
Less waste than the leading national brand.,1
Greener than our previous packaging.,1
Buy our printer. Make a change.,1
20% more recycled content.,1
Eco-smart gas-powered lawn mower with improved fuel efficiency!,1
Environmentally-friendly improvement. 25% less plastic than our previous packaging.,1
Purchasing carbon offsets will neutralize the carbon emissions from your flight.,1
Our product “will offset your own ‘dirty’ driving habits.,1
Will break down into small pieces if left uncovered in sunlight.,1
Includes some recyclable material.,1
Flooring is made with renewable materials.,1
Product generates “10% less waste.,1
Our packaging is made from 50% plantbased renewable materials. Because we turn fast-growing plants into bio-plastics only half of our product is made from petroleum-based materials.,0
Our flooring is made from 100 percent bamboo; which grows at the same rate or faster than we use it.,0
Product made from a mix of renewable energy sources including 20% purchased solar energy.,0
We purchase wind energy for half of our manufacturing facilities.,0
Product contains 50% total recycled fiberincluding 30% postconsumer fiber.,0
Recyclable through our dealership network.,0
25 percent of the material in this package is recyclable in the few communities that can process multi-layer products.,0
Recyclable in the few communities with facilities for foam polystyrene cups.,0
This product [package] is recyclable only in the few communities that have appropriate recycling facilities.,0
Shirts are bleached with a process that releases 50% less of the harmful byproducts associated with chlorine bleaching.,0
Will break down into small pieces if left uncovered in sunlight within 2 years.,0
Environmentally preferable: contains 50% recycled content compared to 20% for the leading brand,0
We’ve reduced the weight of our packaging by 15%.,0
Virtually all 15 products impact the environment. For details on which attributes we evaluated go to [a website that discusses this product].,0
